表７－１　職種別、年齢階層別平均支給額
企業規模,計（100人以上）
職種,年齢階層,四分位,2025年４月分平均支給額「きまって支給する給与(A)」,『2025年４月分平均支給額「きまって支給する給与(A)」』の備考,2025年４月分平均支給額「きまって支給する給与のうち時間外手当(B)」,2025年４月分平均支給額「（A－B）」,2025年４月分平均支給額「（A－B）のうち通勤手当」
,,,円,,円,円,円
支店長,20歳未満,,***,,***,***,***
支店長,20歳以上24歳未満,,***,,***,***,***
支店長,24歳以上28歳未満,,***,,***,***,***
支店長,28歳以上32歳未満,,***,,***,***,***
支店長,32歳以上36歳未満,,X,,X,X,X
研究所長,48歳以上52歳未満,△,873394,*,268,873126,10702
研究所長,52歳以上56歳未満,◎,917650,*,97,917553,12974
研究所長,56歳以上,▽,991417,,1054,990363,18460
研究部（課）長,20歳未満,,***,,***,***,***
研究部（課）長,20歳以上24歳未満,,***,,***,***,***
研究部（課）長,24歳以上28歳未満,,***,,***,***,***
研究部（課）長,28歳以上32歳未満,,***,,***,***,***
研究部（課）長,32歳以上36歳未満,,536797,*,8252,528545,8330
研究部（課）長,36歳以上40歳未満,,630926,,12225,618701,16309
研究部（課）長,40歳以上44歳未満,,664606,,5802,658804,12752
研究部（課）長,44歳以上48歳未満,△,687747,,10511,677236,14814
研究部（課）長,48歳以上52歳未満,◎,730197,,3057,727140,21482
研究部（課）長,52歳以上56歳未満,▽,754002,,4256,749746,24361
研究部（課）長,56歳以上,,759925,,5208,754717,11151
研究室（係）長,20歳未満,,***,,***,***,***
研究室（係）長,20歳以上24歳未満,,***,,***,***,***
研究室（係）長,24歳以上28歳未満,,***,,***,***,***
研究室（係）長,28歳以上32歳未満,,459953,*,67380,392573,4481
研究室（係）長,32歳以上36歳未満,,523164,,25689,497475,8799
研究室（係）長,36歳以上40歳未満,,558665,,21024,537641,11775
研究室（係）長,40歳以上44歳未満,△,600049,,24480,575569,11653
研究室（係）長,44歳以上48歳未満,,622444,,11222,611222,12242
研究室（係）長,48歳以上52歳未満,◎,621526,,9807,611719,8610
研究室（係）長,52歳以上56歳未満,,636555,,6517,630038,6152
研究室（係）長,56歳以上,▽,638476,,4144,634332,6484
主任研究員,20歳未満,,***,,***,***,***
主任研究員,20歳以上24歳未満,,***,,***,***,***
主任研究員,24歳以上28歳未満,,337944,*,12188,325756,2132
主任研究員,28歳以上32歳未満,,390875,,36811,354064,8593
主任研究員,32歳以上36歳未満,,433835,,40966,392869,10414
主任研究員,36歳以上40歳未満,,507794,,40875,466919,10273
主任研究員,40歳以上44歳未満,△,559232,,24363,534869,9411
主任研究員,44歳以上48歳未満,◎,566464,,10959,555505,11677
主任研究員,48歳以上52歳未満,▽,588254,,14676,573578,14059
主任研究員,52歳以上56歳未満,,612742,,16369,596373,12693
主任研究員,56歳以上,,662738,,8951,653787,16908
研究員,20歳未満,,X,,X,X,X
研究員,20歳以上24歳未満,,282826,,30639,252187,8524
研究員,24歳以上28歳未満,,353182,,49771,303411,8399
研究員,28歳以上32歳未満,△,391008,,49198,341810,7281
研究員,32歳以上36歳未満,◎,458078,,52574,405504,11455
研究員,36歳以上40歳未満,,517623,,65389,452234,13371
研究員,40歳以上44歳未満,▽,544268,,71824,472444,8389
研究員,44歳以上48歳未満,,535554,,66840,468714,9776
研究員,48歳以上52歳未満,,537270,,50669,486601,11894
研究員,52歳以上56歳未満,,557095,,42309,514786,11772
研究員,56歳以上,,550125,,37151,512974,11134
研究補助員,20歳未満,,225015,*,12816,212199,12677
研究補助員,20歳以上24歳未満,,260304,*,16393,243911,4231
研究補助員,24歳以上28歳未満,△,368287,,52216,316071,14336
研究補助員,28歳以上32歳未満,◎,406059,,65322,340737,9749
研究補助員,32歳以上36歳未満,▽,324927,*,19819,305108,2559
研究補助員,36歳以上40歳未満,,311165,*,7390,303775,5585
研究補助員,40歳以上44歳未満,,487262,*,17257,470005,122428
研究補助員,44歳以上48歳未満,,400975,*,23452,377523,44619
研究補助員,48歳以上52歳未満,,362788,*,10369,352419,28196
研究補助員,52歳以上56歳未満,,406307,*,27717,378590,31949
研究補助員,56歳以上,,352567,*,12480,340087,4173
病院長,20歳未満,,***,,***,***,***
病院長,20歳以上24歳未満,,***,,***,***,***
病院長,24歳以上28歳未満,,***,,***,***,***
病院長,28歳以上32歳未満,,***,,***,***,***
病院長,32歳以上36歳未満,,***,,***,***,***
病院長,36歳以上40歳未満,,***,,***,***,***
病院長,40歳以上44歳未満,,***,,***,***,***
病院長,44歳以上48歳未満,,X,,X,X,X
病院長,48歳以上52歳未満,,2304627,*,31965,2272662,0
病院長,52歳以上56歳未満,,2139774,*,22786,2116988,2817
病院長,56歳以上,※,1721993,,92366,1629627,16803
副院長,20歳未満,,***,,***,***,***
副院長,20歳以上24歳未満,,***,,***,***,***
副院長,24歳以上28歳未満,,***,,***,***,***
副院長,28歳以上32歳未満,,***,,***,***,***
副院長,32歳以上36歳未満,,***,,***,***,***
副院長,36歳以上40歳未満,,X,,X,X,X
副院長,40歳以上44歳未満,,***,,***,***,***
副院長,44歳以上48歳未満,,1953579,*,39480,1914099,15476
副院長,48歳以上52歳未満,,1481526,*,92269,1389257,1519
副院長,52歳以上56歳未満,△,1679003,*,244822,1434181,25694
副院長,56歳以上,※,1563488,,132092,1431396,14307
医科長,20歳未満,,***,,***,***,***
医科長,20歳以上24歳未満,,***,,***,***,***
医科長,24歳以上28歳未満,,***,,***,***,***
医科長,28歳以上32歳未満,,***,,***,***,***
医科長,32歳以上36歳未満,,1651555,*,131006,1520549,2824
医科長,36歳以上40歳未満,,1076991,*,117726,959265,3842
医科長,40歳以上44歳未満,,1411746,,210960,1200786,18350
医科長,44歳以上48歳未満,,1395228,,223219,1172009,15360
医科長,48歳以上52歳未満,△,1514185,,247276,1266909,16876
医科長,52歳以上56歳未満,◎,1386929,,207794,1179135,18978
医科長,56歳以上,▽,1379070,,157634,1221436,14412
医師,20歳未満,,***,,***,***,***
医師,20歳以上24歳未満,,***,,***,***,***
医師,24歳以上28歳未満,,730371,,85826,644545,10391
医師,28歳以上32歳未満,,905278,,145313,759965,7161
医師,32歳以上36歳未満,△,940932,,161894,779038,11275
医師,36歳以上40歳未満,,1143627,,225311,918316,12257
医師,40歳以上44歳未満,◎,1245287,,205253,1040034,9682
医師,44歳以上48歳未満,,1262017,,150830,1111187,10736
医師,48歳以上52歳未満,,1509136,,216484,1292652,12800
医師,52歳以上56歳未満,▽,1497089,,114554,1382535,16967
医師,56歳以上,,1396950,,78455,1318495,19041
歯科医師,20歳未満,,***,,***,***,***
歯科医師,20歳以上24歳未満,,***,,***,***,***
歯科医師,24歳以上28歳未満,,***,,***,***,***
